stationID,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,WD,TEMP,RH,BP,RAIN
02t,2023-08-12 08:00:00,39.0,,,,,,1.4,262,30.8,62,750,0.0
02t,2023-08-12 09:00:00,25.0,,,,,,2.4,262,32.1,58,750,0.0
02t,2023-08-12 10:00:00,23.0,,,,,,2.4,272,33.5,52,750,0.0
02t,2023-08-12 11:00:00,17.0,,,,,,2.2,275,34.7,48,750,0.0
02t,2023-08-12 12:00:00,22.0,,,,,,2.8,267,35.8,44,749,0.0
02t,2023-08-13 08:00:00,22.0,,,,,,1.1,272,30.0,70,750,0.0
02t,2023-08-13 09:00:00,16.0,,,,,,1.7,269,31.6,62,750,0.0
02t,2023-08-13 10:00:00,17.0,,,,,,1.4,273,33.7,55,750,0.0
02t,2023-08-13 11:00:00,20.0,,,,,,1.6,271,35.5,48,750,0.0
02t,2023-08-13 12:00:00,17.0,,,,,,2.0,271,35.6,45,749,0.0
02t,2023-08-14 08:00:00,21.0,,,,,,1.9,267,29.7,72,750,0.0
02t,2023-08-14 09:00:00,21.0,,,,,,2.2,264,31.4,64,750,0.0
02t,2023-08-14 10:00:00,19.0,,,,,,2.0,269,33.4,56,750,0.0
02t,2023-08-14 11:00:00,16.0,,,,,,1.5,274,35.4,49,749,0.0
02t,2023-08-14 12:00:00,18.0,,,,,,2.1,265,36.0,45,749,0.0
02t,2023-08-15 08:00:00,42.0,,,,,,1.3,265,29.7,69,750,0.0
02t,2023-08-15 09:00:00,32.0,,,,,,2.2,265,31.1,63,751,0.0
02t,2023-08-15 10:00:00,21.0,,,,,,1.7,272,32.8,57,751,0.0
02t,2023-08-15 11:00:00,18.0,,,,,,2.0,275,34.4,51,750,0.0
02t,2023-08-15 12:00:00,17.0,,,,,,2.0,268,35.3,48,749,0.0
02t,2023-08-16 08:00:00,32.0,,,,,,1.0,274,30.1,67,751,0.0
02t,2023-08-16 09:00:00,19.0,,,,,,0.6,285,31.7,60,751,0.0
02t,2023-08-16 10:00:00,12.0,,,,,,1.3,273,32.4,56,751,0.0
02t,2023-08-16 11:00:00,10.0,,,,,,1.7,269,33.1,53,751,0.0
02t,2023-08-16 12:00:00,12.0,,,,,,2.2,280,34.0,49,750,0.0
02t,2023-08-17 08:00:00,31.0,,,,,,2.0,263,30.0,63,751,0.0
02t,2023-08-17 09:00:00,26.0,,,,,,1.8,271,31.2,58,751,0.0
02t,2023-08-17 10:00:00,16.0,,,,,,1.9,275,33.0,52,751,0.0
02t,2023-08-17 11:00:00,13.0,,,,,,2.5,268,34.7,45,751,0.0
02t,2023-08-17 12:00:00,16.0,,,,,,2.9,273,35.5,43,750,0.0
02t,2023-08-18 08:00:00,22.0,,,,,,3.3,266,28.6,69,750,0.0
02t,2023-08-18 09:00:00,20.0,,,,,,3.3,275,30.2,63,750,0.0
02t,2023-08-18 10:00:00,14.0,,,,,,3.3,270,32.4,56,750,0.0
02t,2023-08-18 11:00:00,15.0,,,,,,3.3,282,34.4,48,750,0.0
02t,2023-08-18 12:00:00,21.0,,,,,,2.6,297,35.5,45,749,0.0
02t,2023-08-19 08:00:00,17.0,,,,,,2.8,285,30.1,62,750,0.0
02t,2023-08-19 09:00:00,18.0,,,,,,3.1,297,31.8,55,750,0.0
02t,2023-08-19 10:00:00,23.0,,,,,,3.0,293,33.7,49,749,0.0
02t,2023-08-19 11:00:00,24.0,,,,,,2.9,297,35.6,43,749,0.0
02t,2023-08-19 12:00:00,21.0,,,,,,2.2,296,36.7,41,748,0.0
02t,2023-08-20 08:00:00,22.0,,,,,,2.8,266,30.5,61,749,0.0
02t,2023-08-20 09:00:00,21.0,,,,,,2.9,276,31.8,58,749,0.0
02t,2023-08-20 10:00:00,17.0,,,,,,1.9,281,33.7,53,749,0.0
02t,2023-08-20 11:00:00,19.0,,,,,,1.9,272,35.6,48,749,0.0
02t,2023-08-20 12:00:00,19.0,,,,,,1.6,293,36.7,45,748,0.0
02t,2023-08-21 08:00:00,19.0,,,,,,0.1,93,28.7,87,750,0.0
02t,2023-08-21 09:00:00,21.0,,,,,,0.1,72,29.9,86,750,0.0
02t,2023-08-21 10:00:00,19.0,,,,,,0.4,280,30.9,86,750,0.0
02t,2023-08-21 11:00:00,17.0,,,,,,1.1,282,31.7,85,749,0.0
02t,2023-08-21 12:00:00,15.0,,,,,,0.5,290,32.2,82,749,0.0
02t,2023-08-22 08:00:00,19.0,,,,,,0.6,265,28.7,79,751,0.0
02t,2023-08-22 09:00:00,13.0,,,,,,0.7,279,29.8,76,751,0.0
02t,2023-08-22 10:00:00,11.0,,,,,,0.9,271,31.0,67,750,0.0
02t,2023-08-22 11:00:00,13.0,,,,,,1.3,273,32.3,60,750,0.0
02t,2023-08-22 12:00:00,19.0,,,,,,1.7,288,33.7,53,750,0.0
02t,2023-08-23 08:00:00,20.0,,,,,,1.4,284,28.8,77,751,0.0
02t,2023-08-23 09:00:00,16.0,,,,,,1.1,273,29.8,74,751,0.0
02t,2023-08-23 10:00:00,15.0,,,,,,1.8,272,30.4,68,751,0.0
02t,2023-08-23 11:00:00,17.0,,,,,,1.8,270,31.6,62,751,0.0
02t,2023-08-23 12:00:00,14.0,,,,,,1.9,291,32.8,56,750,0.0
02t,2023-08-24 08:00:00,31.0,,,,,,0.8,281,28.7,79,751,0.0
02t,2023-08-24 09:00:00,16.0,,,,,,1.1,278,30.1,74,751,0.2
02t,2023-08-24 10:00:00,9.0,,,,,,1.2,277,31.4,67,751,0.0
02t,2023-08-24 11:00:00,8.0,,,,,,1.2,277,32.1,61,750,0.0
02t,2023-08-24 12:00:00,8.0,,,,,,0.6,288,33.4,58,749,0.0
02t,2023-08-25 08:00:00,22.0,,,,,,1.4,264,28.6,77,751,0.0
02t,2023-08-25 09:00:00,21.0,,,,,,1.3,278,29.8,73,751,0.0
02t,2023-08-25 10:00:00,19.0,,,,,,2.2,271,31.3,64,751,0.0
02t,2023-08-25 11:00:00,15.0,,,,,,2.7,277,33.3,54,750,0.0
02t,2023-08-25 12:00:00,11.0,,,,,,2.2,281,34.0,50,750,0.0
02t,2023-08-26 08:00:00,22.0,,,,,,1.4,259,28.3,77,751,0.0
02t,2023-08-26 09:00:00,19.0,,,,,,1.0,264,29.3,75,752,0.0
02t,2023-08-26 10:00:00,17.0,,,,,,1.9,269,31.4,66,752,0.0
02t,2023-08-26 11:00:00,15.0,,,,,,2.5,270,32.5,57,751,0.0
02t,2023-08-26 12:00:00,15.0,,,,,,3.5,290,33.2,53,750,0.0
02t,2023-08-27 08:00:00,19.0,,,,,,1.9,262,29.7,64,751,0.0
02t,2023-08-27 09:00:00,13.0,,,,,,2.2,267,31.0,60,751,0.0
02t,2023-08-27 10:00:00,12.0,,,,,,2.8,285,32.4,55,751,0.0
02t,2023-08-27 11:00:00,10.0,,,,,,2.7,292,33.5,51,751,0.0
02t,2023-08-27 12:00:00,12.0,,,,,,1.9,295,34.3,49,749,0.0
02t,2023-08-28 08:00:00,17.0,,,,,,1.5,264,30.1,62,750,0.0
02t,2023-08-28 09:00:00,15.0,,,,,,1.9,268,31.1,59,750,0.0
02t,2023-08-28 10:00:00,14.0,,,,,,2.1,269,32.7,53,749,0.0
02t,2023-08-28 11:00:00,13.0,,,,,,2.3,265,34.7,47,748,0.0
02t,2023-08-28 12:00:00,15.0,,,,,,1.9,275,36.0,42,748,0.0
02t,2023-08-29 08:00:00,14.0,,,,,,0.7,285,30.2,65,749,0.0
02t,2023-08-29 09:00:00,11.0,,,,,,1.6,268,31.4,58,749,0.0
02t,2023-08-29 10:00:00,11.0,,,,,,2.2,263,32.8,53,749,0.0
02t,2023-08-29 11:00:00,12.0,,,,,,2.5,264,34.0,48,749,0.0
02t,2023-08-29 12:00:00,12.0,,,,,,1.4,275,34.4,47,748,0.0
02t,2023-08-30 08:00:00,18.0,,,,,,0.9,277,30.4,67,750,0.0
02t,2023-08-30 09:00:00,14.0,,,,,,1.7,270,31.5,62,750,0.0
02t,2023-08-30 10:00:00,12.0,,,,,,1.7,273,32.8,56,750,0.0
02t,2023-08-30 11:00:00,11.0,,,,,,1.3,272,34.1,51,749,0.0
02t,2023-08-30 12:00:00,11.0,,,,,,1.1,281,34.1,52,749,0.0
02t,2023-08-31 08:00:00,24.0,,,,,,1.5,279,29.4,73,750,0.0
02t,2023-08-31 09:00:00,18.0,,,,,,1.5,290,30.9,66,750,0.0
02t,2023-08-31 10:00:00,20.0,,,,,,2.2,290,32.9,55,750,0.0
02t,2023-08-31 11:00:00,31.0,,,,,,2.2,284,34.5,48,749,0.0
02t,2023-08-31 12:00:00,28.0,,,,,,2.4,277,35.6,45,749,0.0
02t,2023-09-01 08:00:00,,,,,,,2.1,262,28.6,83,750,0.0
02t,2023-09-01 09:00:00,,,,,,,1.5,279,29.5,82,750,0.0
02t,2023-09-01 10:00:00,,,,,,,3.2,272,30.2,75,750,0.0
02t,2023-09-01 11:00:00,,,,,,,3.1,270,31.8,64,749,0.0
02t,2023-09-01 12:00:00,,,,,,,2.9,276,32.7,57,749,0.0
02t,2023-09-02 08:00:00,,,,,,,1.7,282,30.0,65,748,0.0
02t,2023-09-02 09:00:00,,,,,,,2.1,277,31.2,62,748,0.0
02t,2023-09-02 10:00:00,,,,,,,2.7,272,32.7,56,748,0.0
02t,2023-09-02 11:00:00,,,,,,,2.8,288,34.5,50,748,0.0
02t,2023-09-02 12:00:00,,,,,,,2.6,285,35.3,48,747,0.0
02t,2023-09-03 08:00:00,,,,,,,1.6,266,29.9,63,748,0.0
02t,2023-09-03 09:00:00,,,,,,,1.8,268,31.3,59,748,0.0
02t,2023-09-03 10:00:00,,,,,,,1.6,264,33.4,53,747,0.0
02t,2023-09-03 11:00:00,,,,,,,1.2,274,35.2,47,747,0.0
02t,2023-09-03 12:00:00,,,,,,,0.4,287,35.2,48,746,0.0
02t,2023-09-04 08:00:00,,,,,,,1.1,282,29.8,69,747,0.0
02t,2023-09-04 09:00:00,,,,,,,1.1,290,31.0,65,747,0.0
02t,2023-09-04 10:00:00,,,,,,,1.6,268,33.1,57,747,0.0
02t,2023-09-04 11:00:00,,,,,,,1.8,275,35.1,49,746,0.0
02t,2023-09-04 12:00:00,,,,,,,1.1,286,35.0,50,746,0.0
02t,2023-09-05 08:00:00,14.0,,,,,,0.9,287,30.5,64,749,0.0
02t,2023-09-05 09:00:00,7.0,,,,,,1.0,287,31.7,59,749,0.0
02t,2023-09-05 10:00:00,6.0,,,,,,1.7,271,32.8,55,749,0.0
02t,2023-09-05 11:00:00,6.0,,,,,,2.7,265,33.2,52,749,0.0
02t,2023-09-05 12:00:00,6.0,,,,,,2.0,281,33.3,52,748,0.0
02t,2023-09-06 08:00:00,15.0,,,,,,0.1,357,28.7,68,751,0.0
02t,2023-09-06 09:00:00,19.0,,,,,,0.6,278,30.0,68,752,0.0
02t,2023-09-06 10:00:00,20.0,,,,,,1.5,275,31.5,62,752,0.0
02t,2023-09-06 11:00:00,18.0,,,,,,1.9,271,33.1,56,751,0.0
02t,2023-09-06 12:00:00,18.0,,,,,,2.6,267,33.3,52,751,0.0
02t,2023-09-07 08:00:00,24.0,,,,,,1.3,276,30.0,65,752,0.0
02t,2023-09-07 09:00:00,20.0,,,,,,2.0,268,31.3,60,752,0.0
02t,2023-09-07 10:00:00,20.0,,,,,,2.9,281,32.2,56,752,0.0
02t,2023-09-07 11:00:00,13.0,,,,,,3.1,283,32.9,54,751,0.0
02t,2023-09-07 12:00:00,10.0,,,,,,2.5,291,33.6,51,751,0.0
02t,2023-09-08 08:00:00,16.0,,,,,,1.5,264,29.5,68,752,0.0
02t,2023-09-08 09:00:00,15.0,,,,,,2.0,265,30.7,63,752,0.0
02t,2023-09-08 10:00:00,12.0,,,,,,2.5,272,31.9,58,752,0.0
02t,2023-09-08 11:00:00,11.0,,,,,,3.1,271,33.2,53,751,0.0
02t,2023-09-08 12:00:00,12.0,,,,,,2.9,275,34.3,50,750,0.0
02t,2023-09-09 08:00:00,18.0,,,,,,1.4,266,29.9,63,750,0.0
02t,2023-09-09 09:00:00,16.0,,,,,,2.2,265,30.9,60,750,0.0
02t,2023-09-09 10:00:00,14.0,,,,,,2.2,283,32.1,56,750,0.0
02t,2023-09-09 11:00:00,12.0,,,,,,2.4,293,33.7,52,749,0.0
02t,2023-09-09 12:00:00,11.0,,,,,,2.2,283,35.1,47,748,0.0
02t,2023-09-10 08:00:00,17.0,,,,,,0.1,9,28.9,79,750,0.0
02t,2023-09-10 09:00:00,15.0,,,,,,0.7,290,30.0,78,750,0.0
02t,2023-09-10 10:00:00,10.0,,,,,,0.7,288,30.8,72,750,0.0
02t,2023-09-10 11:00:00,9.0,,,,,,1.0,285,31.3,64,750,0.0
02t,2023-09-10 12:00:00,11.0,,,,,,1.4,266,32.3,60,749,0.0
02t,2023-09-11 08:00:00,14.0,,,,,,1.0,283,28.4,77,750,0.0
02t,2023-09-11 09:00:00,12.0,,,,,,0.5,311,30.0,71,751,0.0
02t,2023-09-11 10:00:00,11.0,,,,,,0.9,296,30.9,65,751,0.0
02t,2023-09-11 11:00:00,10.0,,,,,,1.1,286,32.4,58,750,0.0
02t,2023-09-11 12:00:00,10.0,,,,,,0.4,320,32.5,57,750,0.0
02t,2023-09-12 08:00:00,11.0,,,,,,1.4,265,28.7,72,752,0.0
02t,2023-09-12 09:00:00,13.0,,,,,,1.1,279,29.8,69,752,0.0
02t,2023-09-12 10:00:00,12.0,,,,,,0.9,292,31.0,63,752,0.0
02t,2023-09-12 11:00:00,9.0,,,,,,1.0,296,31.8,60,752,0.0
02t,2023-09-12 12:00:00,8.0,,,,,,1.9,275,32.9,56,751,0.0
02t,2023-09-13 08:00:00,20.0,,,,,,0.8,286,29.6,69,752,0.0
02t,2023-09-13 09:00:00,15.0,,,,,,0.9,288,30.8,63,752,0.0
02t,2023-09-13 10:00:00,12.0,,,,,,1.2,279,31.9,58,752,0.0
02t,2023-09-13 11:00:00,13.0,,,,,,1.2,282,33.1,54,752,0.0
02t,2023-09-13 12:00:00,11.0,,,,,,0.5,317,33.3,53,751,0.0
02t,2023-09-14 08:00:00,25.0,,,,,,1.1,274,28.4,77,752,0.0
02t,2023-09-14 09:00:00,24.0,,,,,,1.5,268,29.7,72,752,0.0
02t,2023-09-14 10:00:00,18.0,,,,,,2.2,277,31.6,63,751,0.0
02t,2023-09-14 11:00:00,17.0,,,,,,2.5,285,32.8,57,751,0.0
02t,2023-09-14 12:00:00,19.0,,,,,,2.6,286,33.5,53,750,0.0
02t,2023-09-15 08:00:00,45.0,,,,,,1.2,264,28.3,76,750,0.0
02t,2023-09-15 09:00:00,28.0,,,,,,1.4,286,29.2,73,751,0.0
02t,2023-09-15 10:00:00,17.0,,,,,,1.5,272,30.6,68,751,0.0
02t,2023-09-15 11:00:00,18.0,,,,,,2.2,265,31.5,61,750,0.0
02t,2023-09-15 12:00:00,13.0,,,,,,1.8,269,31.9,58,750,0.0
02t,2023-09-16 08:00:00,17.0,,,,,,0.8,266,28.6,70,751,0.0
02t,2023-09-16 09:00:00,17.0,,,,,,1.7,267,30.2,63,750,0.0
02t,2023-09-16 10:00:00,19.0,,,,,,1.4,266,32.1,55,750,0.0
02t,2023-09-16 11:00:00,19.0,,,,,,1.6,272,33.3,51,750,0.0
02t,2023-09-16 12:00:00,17.0,,,,,,0.4,291,33.3,51,749,0.0
02t,2023-09-17 08:00:00,22.0,,,,,,0.4,276,28.5,76,751,0.0
02t,2023-09-17 09:00:00,20.0,,,,,,0.8,274,29.5,73,751,0.0
02t,2023-09-17 10:00:00,14.0,,,,,,1.0,272,31.2,67,750,0.0
02t,2023-09-17 11:00:00,11.0,,,,,,0.1,321,32.6,60,749,0.0
02t,2023-09-17 12:00:00,12.0,,,,,,0.4,312,33.1,56,749,0.0
02t,2023-09-18 08:00:00,16.0,,,,,,0.1,9,27.4,79,752,1.4
02t,2023-09-18 09:00:00,14.0,,,,,,0.1,81,27.8,80,752,0.0
02t,2023-09-18 10:00:00,16.0,,,,,,0.2,300,29.5,79,752,0.0
02t,2023-09-18 11:00:00,15.0,,,,,,0.3,282,31.2,73,752,0.0
02t,2023-09-18 12:00:00,18.0,,,,,,0.2,333,32.4,65,751,0.0
02t,2023-09-19 08:00:00,16.0,,,,,,0.2,311,29.0,74,753,0.0
02t,2023-09-19 09:00:00,13.0,,,,,,1.3,290,30.4,68,753,0.0
02t,2023-09-19 10:00:00,12.0,,,,,,1.2,322,32.2,58,753,0.0
02t,2023-09-19 11:00:00,13.0,,,,,,1.1,331,33.3,53,753,0.0
02t,2023-09-19 12:00:00,14.0,,,,,,0.8,0,34.0,50,752,0.0
02t,2023-09-20 08:00:00,24.0,,,,,,0.9,18,29.7,73,753,0.0
02t,2023-09-20 09:00:00,15.0,,,,,,1.2,37,31.1,70,753,0.0
02t,2023-09-20 10:00:00,12.0,,,,,,1.1,16,32.9,62,752,0.0
02t,2023-09-20 11:00:00,13.0,,,,,,1.6,37,35.1,51,751,0.0
02t,2023-09-20 12:00:00,13.0,,,,,,1.3,347,36.0,46,751,0.0
02t,2023-09-21 08:00:00,20.0,,,,,,0.4,293,27.2,80,752,0.0
02t,2023-09-21 09:00:00,19.0,,,,,,0.4,307,28.6,80,753,0.0
02t,2023-09-21 10:00:00,15.0,,,,,,0.6,349,30.5,74,752,0.0
02t,2023-09-21 11:00:00,17.0,,,,,,0.5,13,32.6,64,751,0.0
02t,2023-09-21 12:00:00,16.0,,,,,,0.8,360,34.0,58,751,0.0
02t,2023-09-22 08:00:00,21.0,,,,,,0.2,303,26.5,82,752,0.0
02t,2023-09-22 09:00:00,20.0,,,,,,0.3,38,27.7,82,752,0.0
02t,2023-09-22 10:00:00,16.0,,,,,,0.3,24,29.6,79,752,0.0
02t,2023-09-22 11:00:00,16.0,,,,,,0.8,309,31.6,67,751,0.0
02t,2023-09-22 12:00:00,18.0,,,,,,0.9,311,33.1,58,750,0.0
02t,2023-09-23 08:00:00,24.0,,,,,,0.2,272,27.7,80,752,0.0
02t,2023-09-23 09:00:00,21.0,,,,,,0.4,304,29.1,79,752,0.0
02t,2023-09-23 10:00:00,19.0,,,,,,0.2,301,30.5,77,752,0.0
02t,2023-09-23 11:00:00,23.0,,,,,,0.4,275,31.9,70,751,0.0
02t,2023-09-23 12:00:00,26.0,,,,,,1.2,280,32.5,63,750,0.0
02t,2023-09-24 08:00:00,34.0,,,,,,0.4,16,29.1,79,751,0.0
02t,2023-09-24 09:00:00,32.0,,,,,,0.5,23,30.2,78,751,0.0
02t,2023-09-24 10:00:00,32.0,,,,,,1.2,269,31.4,73,751,0.0
02t,2023-09-24 11:00:00,27.0,,,,,,0.5,329,29.5,69,751,0.2
02t,2023-09-24 12:00:00,18.0,,,,,,0.8,332,27.8,73,750,0.4
02t,2023-09-25 08:00:00,23.0,,,,,,0.4,291,29.0,77,750,0.0
02t,2023-09-25 09:00:00,20.0,,,,,,0.7,312,30.3,75,750,0.0
02t,2023-09-25 10:00:00,14.0,,,,,,0.9,291,32.3,66,750,0.0
02t,2023-09-25 11:00:00,16.0,,,,,,1.4,283,33.5,59,748,0.0
02t,2023-09-25 12:00:00,18.0,,,,,,0.6,356,35.0,53,748,0.0
02t,2023-09-26 08:00:00,28.0,,,,,,1.4,273,28.0,87,749,0.0
02t,2023-09-26 09:00:00,23.0,,,,,,1.6,293,28.9,86,750,0.0
02t,2023-09-26 10:00:00,15.0,,,,,,2.2,282,29.7,86,749,0.0
02t,2023-09-26 11:00:00,13.0,,,,,,1.5,300,30.8,82,749,0.0
02t,2023-09-26 12:00:00,13.0,,,,,,1.7,294,31.4,73,748,0.0
02t,2023-09-27 08:00:00,43.0,,,,,,0.4,288,27.6,82,749,0.0
02t,2023-09-27 09:00:00,32.0,,,,,,0.5,290,28.6,82,749,0.0
02t,2023-09-27 10:00:00,29.0,,,,,,0.4,283,29.7,80,749,0.0
02t,2023-09-27 11:00:00,22.0,,,,,,0.6,287,30.3,78,748,0.0
02t,2023-09-27 12:00:00,14.0,,,,,,0.5,293,30.6,77,748,0.0
02t,2023-09-28 08:00:00,12.0,,,,,,0.2,18,28.0,79,751,0.0
02t,2023-09-28 09:00:00,14.0,,,,,,0.4,356,28.6,78,751,0.0
02t,2023-09-28 10:00:00,13.0,,,,,,0.4,2,29.3,77,751,0.0
02t,2023-09-28 11:00:00,12.0,,,,,,0.5,329,29.9,73,750,0.4
02t,2023-09-28 12:00:00,12.0,,,,,,0.7,326,30.0,71,750,0.0
02t,2023-09-29 08:00:00,17.0,,,,,,0.8,301,29.1,74,753,0.0
02t,2023-09-29 09:00:00,13.0,,,,,,1.2,292,30.3,66,753,0.0
02t,2023-09-29 10:00:00,11.0,,,,,,0.9,303,31.6,60,753,0.0
02t,2023-09-29 11:00:00,11.0,,,,,,0.6,318,32.8,56,753,0.0
02t,2023-09-29 12:00:00,12.0,,,,,,0.9,316,33.0,53,752,0.0
02t,2023-09-30 08:00:00,21.0,,,,,,0.2,296,28.5,80,754,0.0
02t,2023-09-30 09:00:00,22.0,,,,,,0.6,287,29.7,79,754,0.2
02t,2023-09-30 10:00:00,17.0,,,,,,0.6,295,30.5,74,754,0.0
02t,2023-09-30 11:00:00,14.0,,,,,,0.9,282,31.1,67,753,0.0
02t,2023-09-30 12:00:00,11.0,,,,,,0.9,279,32.1,63,753,0.0
02t,2023-10-01 08:00:00,20.0,,,,,,0.6,309,28.4,76,752,0.0
02t,2023-10-01 09:00:00,16.0,,,,,,0.6,278,29.7,72,752,0.0
02t,2023-10-01 10:00:00,14.0,,,,,,1.3,281,31.4,63,752,0.0
02t,2023-10-01 11:00:00,16.0,,,,,,1.1,279,32.1,59,752,0.0
02t,2023-10-01 12:00:00,18.0,,,,,,1.8,269,32.3,58,751,0.0
02t,2023-10-02 08:00:00,26.0,,,,,,1.3,300,28.2,78,753,0.2
02t,2023-10-02 09:00:00,23.0,,,,,,2.0,291,29.4,74,753,0.0
02t,2023-10-02 10:00:00,15.0,,,,,,2.4,280,31.0,66,753,0.0
02t,2023-10-02 11:00:00,10.0,,,,,,2.5,282,32.2,58,752,0.0
02t,2023-10-02 12:00:00,12.0,,,,,,2.7,288,32.9,55,752,0.0
02t,2023-10-03 08:00:00,17.0,,,,,,2.4,278,29.2,69,753,0.0
02t,2023-10-03 09:00:00,15.0,,,,,,2.1,287,30.8,64,753,0.0
02t,2023-10-03 10:00:00,16.0,,,,,,1.8,294,32.9,57,753,0.0
02t,2023-10-03 11:00:00,16.0,,,,,,1.7,308,34.4,51,751,0.0
02t,2023-10-03 12:00:00,15.0,,,,,,1.8,283,35.0,48,751,0.0
02t,2023-10-04 08:00:00,21.0,,,,,,0.3,296,27.2,84,752,0.2
02t,2023-10-04 09:00:00,17.0,,,,,,0.5,281,28.2,84,753,0.0
02t,2023-10-04 10:00:00,21.0,,,,,,0.3,283,29.1,84,752,0.0
02t,2023-10-04 11:00:00,23.0,,,,,,0.2,31,29.7,83,752,0.0
